2020-06-17 00:43:48.299 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkDeploymentMapper.selectObjs
2020-06-17 00:43:48.302 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkDeploymentMapper.selectList
2020-06-17 00:43:48.306 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkDeploymentMapper.selectPage
2020-06-17 00:43:48.392 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.insert
2020-06-17 00:43:48.396 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.delete
2020-06-17 00:43:48.398 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.deleteByMap
2020-06-17 00:43:48.401 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.deleteById
2020-06-17 00:43:48.403 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.deleteBatchIds
2020-06-17 00:43:48.406 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.update
2020-06-17 00:43:48.409 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.updateById
2020-06-17 00:43:48.410 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectById
2020-06-17 00:43:48.412 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectBatchIds
2020-06-17 00:43:48.416 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectByMap
2020-06-17 00:43:48.418 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectOne
2020-06-17 00:43:48.421 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectCount
2020-06-17 00:43:48.424 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectMaps
2020-06-17 00:43:48.428 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectMapsPage
2020-06-17 00:43:48.433 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectObjs
2020-06-17 00:43:48.437 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectList
2020-06-17 00:43:48.440 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.RdWorkPlanMapper.selectPage
